"","FECHA","CLASE","DIA_NOMBRE","PERIODO","ESPECIAL","ACCIDENTES"
"236",2019-02-10,"CAIDA_OCUPANTE","DOMINGO",2019,0,7
"237",2019-02-10,"CHOQUE","DOMINGO",2019,0,53
"238",2019-02-10,"INCENDIO","DOMINGO",2019,0,1
"239",2019-02-10,"OTRO","DOMINGO",2019,0,9
"240",2019-02-10,"VOLCAMIENTO","DOMINGO",2019,0,3
"241",2019-02-11,"ATROPELLO","LUNES",2019,0,12
"242",2019-02-11,"CAIDA_OCUPANTE","LUNES",2019,0,11
"243",2019-02-11,"CHOQUE","LUNES",2019,0,81
"244",2019-02-11,"INCENDIO","LUNES",2019,0,1
"245",2019-02-11,"OTRO","LUNES",2019,0,13
"246",2019-02-11,"VOLCAMIENTO","LUNES",2019,0,4
"247",2019-02-12,"ATROPELLO","MARTES",2019,0,13
"248",2019-02-12,"CAIDA_OCUPANTE","MARTES",2019,0,11
"249",2019-02-12,"CHOQUE","MARTES",2019,0,86
"250",2019-02-12,"INCENDIO","MARTES",2019,0,1
"251",2019-02-12,"OTRO","MARTES",2019,0,14
"252",2019-02-12,"VOLCAMIENTO","MARTES",2019,0,4
"253",2019-02-13,"ATROPELLO","MIERCOLES",2019,0,13
"254",2019-02-13,"CAIDA_OCUPANTE","MIERCOLES",2019,0,11
"255",2019-02-13,"CHOQUE","MIERCOLES",2019,0,84
"256",2019-02-13,"INCENDIO","MIERCOLES",2019,0,1
"257",2019-02-13,"OTRO","MIERCOLES",2019,0,14
"258",2019-02-13,"VOLCAMIENTO","MIERCOLES",2019,0,4
"259",2019-02-14,"ATROPELLO","JUEVES",2019,0,13
"260",2019-02-14,"CAIDA_OCUPANTE","JUEVES",2019,0,11
"261",2019-02-14,"CHOQUE","JUEVES",2019,0,83
"262",2019-02-14,"INCENDIO","JUEVES",2019,0,1
"263",2019-02-14,"OTRO","JUEVES",2019,0,13
"264",2019-02-14,"VOLCAMIENTO","JUEVES",2019,0,4
"265",2019-02-15,"ATROPELLO","VIERNES",2019,0,13
"266",2019-02-15,"CAIDA_OCUPANTE","VIERNES",2019,0,12
"267",2019-02-15,"CHOQUE","VIERNES",2019,0,87
"268",2019-02-15,"INCENDIO","VIERNES",2019,0,1
"269",2019-02-15,"OTRO","VIERNES",2019,0,14
"270",2019-02-15,"VOLCAMIENTO","VIERNES",2019,0,4
"271",2019-02-16,"ATROPELLO","SABADO",2019,0,12
"272",2019-02-16,"CAIDA_OCUPANTE","SABADO",2019,0,10
"273",2019-02-16,"CHOQUE","SABADO",2019,0,78
"274",2019-02-16,"INCENDIO","SABADO",2019,0,1
"275",2019-02-16,"OTRO","SABADO",2019,0,13
"276",2019-02-16,"VOLCAMIENTO","SABADO",2019,0,4
"277",2019-02-17,"ATROPELLO","DOMINGO",2019,0,8
"278",2019-02-17,"CAIDA_OCUPANTE","DOMINGO",2019,0,7
"279",2019-02-17,"CHOQUE","DOMINGO",2019,0,53
"280",2019-02-17,"INCENDIO","DOMINGO",2019,0,1
"281",2019-02-17,"OTRO","DOMINGO",2019,0,9
"282",2019-02-17,"VOLCAMIENTO","DOMINGO",2019,0,3
"283",2019-02-18,"ATROPELLO","LUNES",2019,0,12
